body_title,graph,senior_csv_filepath,junior_csv_filepath,xls_filepath,senior_posts_count,junior_posts_count
Animal Health and Veterinary Laboratories Agency,2011-03-31,data/dgu/csv-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-03-31-organogram.xls,12,219
Appointments Commission,2011-03-31,data/dgu/csv-from-triplestore/appointments_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/appointments_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/appointments_commission-2011-03-31-organogram.xls,3,13
Asset Protection Agency,2011-03-31,data/dgu/csv-from-triplestore/asset_protection_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/asset_protection_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/asset_protection_agency-2011-03-31-organogram.xls,18,8
Attorney General's Office,2011-03-31,data/dgu/csv-from-triplestore/attorney_generals_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/attorney_generals_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/attorney_generals_office-2011-03-31-organogram.xls,6,20
Audit Commission,2011-03-31,data/dgu/csv-from-triplestore/audit_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/audit_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/audit_commission-2011-03-31-organogram.xls,25,166
BIG Lottery Fund,2011-03-31,data/dgu/csv-from-triplestore/big_lottery_fund-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/big_lottery_fund-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/big_lottery_fund-2011-03-31-organogram.xls,21,37
British Transport Police Authority,2011-03-31,data/dgu/csv-from-triplestore/british_transport_police_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/british_transport_police_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/british_transport_police_authority-2011-03-31-organogram.xls,17,5
Cabinet Office,2011-03-31,data/dgu/csv-from-triplestore/cabinet_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/cabinet_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/cabinet_office-2011-03-31-organogram.xls,216,763
Care Quality Commission,2011-03-31,data/dgu/csv-from-triplestore/care_quality_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/care_quality_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/care_quality_commission-2011-03-31-organogram.xls,46,312
Child Maintenance and Enforcement Commission,2011-03-31,data/dgu/csv-from-triplestore/child_maintenance_and_enforcement_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/child_maintenance_and_enforcement_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/child_maintenance_and_enforcement_commission-2011-03-31-organogram.xls,39,298
Children and Family Court Advisory and Support Service,2011-03-31,data/dgu/csv-from-triplestore/children_and_family_court_advisory_and_support_service-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/children_and_family_court_advisory_and_support_service-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/children_and_family_court_advisory_and_support_service-2011-03-31-organogram.xls,9,78
Children's Workforce Development Council,2011-03-31,data/dgu/csv-from-triplestore/childrens_workforce_development_council-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/childrens_workforce_development_council-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/childrens_workforce_development_council-2011-03-31-organogram.xls,7,68
Coal Authority,2011-03-31,data/dgu/csv-from-triplestore/coal_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/coal_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/coal_authority-2011-03-31-organogram.xls,6,89
Competition Commission,2011-03-31,data/dgu/csv-from-triplestore/competition_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/competition_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/competition_commission-2011-03-31-organogram.xls,20,47
Consumer Council for Water,2011-03-31,data/dgu/csv-from-triplestore/consumer_council_for_water-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/consumer_council_for_water-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/consumer_council_for_water-2011-03-31-organogram.xls,5,20
Council for Healthcare Regulatory Excellence,2011-03-31,data/dgu/csv-from-triplestore/council_for_healthcare_regulatory_excellence-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/council_for_healthcare_regulatory_excellence-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/council_for_healthcare_regulatory_excellence-2011-03-31-organogram.xls,4,8
Criminal Cases Review Commission,2011-03-31,data/dgu/csv-from-triplestore/criminal_cases_review_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/criminal_cases_review_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/criminal_cases_review_commission-2011-03-31-organogram.xls,14,25
Criminal Injuries Compensation Authority,2011-03-31,data/dgu/csv-from-triplestore/criminal_injuries_compensation_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/criminal_injuries_compensation_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/criminal_injuries_compensation_authority-2011-03-31-organogram.xls,2,83
Criminal Records Bureau,2011-03-31,data/dgu/csv-from-triplestore/criminal_records_bureau-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/criminal_records_bureau-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/criminal_records_bureau-2011-03-31-organogram.xls,3,56
Crown Prosecution Service,2011-03-31,data/dgu/csv-from-triplestore/crown_prosecution_service-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/crown_prosecution_service-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/crown_prosecution_service-2011-03-31-organogram.xls,72,1681
Defence Support Group,2011-03-31,data/dgu/csv-from-triplestore/defence_support_group-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/defence_support_group-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/defence_support_group-2011-03-31-organogram.xls,6,26
"Department for Business, Innovation and Skills",2011-03-31,data/dgu/csv-from-triplestore/department_for_business_innovation_and_skills-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_for_business_innovation_and_skills-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_for_business_innovation_and_skills-2011-03-31-organogram.xls,195,1332
Department for Communities and Local Government,2011-03-31,data/dgu/csv-from-triplestore/department_for_communities_and_local_government-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_for_communities_and_local_government-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_for_communities_and_local_government-2011-03-31-organogram.xls,99,611
"Department for Culture, Media and Sport",2011-03-31,data/dgu/csv-from-triplestore/department_for_culture_media_and_sport-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_for_culture_media_and_sport-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_for_culture_media_and_sport-2011-03-31-organogram.xls,0,0
"Department for Environment, Food and Rural Affairs",2011-03-31,data/dgu/csv-from-triplestore/department_for_environment_food_and_rural_affairs-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_for_environment_food_and_rural_affairs-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_for_environment_food_and_rural_affairs-2011-03-31-organogram.xls,121,952
Department for International Development,2011-03-31,data/dgu/csv-from-triplestore/department_for_international_development-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_for_international_development-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_for_international_development-2011-03-31-organogram.xls,80,268
Department for Transport,2011-03-31,data/dgu/csv-from-triplestore/department_for_transport-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_for_transport-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_for_transport-2011-03-31-organogram.xls,117,502
Department for Work and Pensions,2011-03-31,data/dgu/csv-from-triplestore/department_for_work_and_pensions-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_for_work_and_pensions-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_for_work_and_pensions-2011-03-31-organogram.xls,270,2647
Department of Education,2011-03-31,data/dgu/csv-from-triplestore/department_of_education-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_of_education-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_of_education-2011-03-31-organogram.xls,126,631
Department of Energy and Climate Change,2011-03-31,data/dgu/csv-from-triplestore/department_of_energy_and_climate_change-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_of_energy_and_climate_change-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_of_energy_and_climate_change-2011-03-31-organogram.xls,93,364
Department of Health,2011-03-31,data/dgu/csv-from-triplestore/department_of_health-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/department_of_health-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/department_of_health-2011-03-31-organogram.xls,303,1242
Driver and Vehicle Licensing Agency,2011-03-31,data/dgu/csv-from-triplestore/driver_and_vehicle_licensing_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/driver_and_vehicle_licensing_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/driver_and_vehicle_licensing_agency-2011-03-31-organogram.xls,7,57
Driving Standards Agency,2011-03-31,data/dgu/csv-from-triplestore/driving_standards_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/driving_standards_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/driving_standards_agency-2011-03-31-organogram.xls,3,64
Engineering and Physical Sciences Research Council,2011-03-31,data/dgu/csv-from-triplestore/engineering_and_physical_sciences_research_council-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/engineering_and_physical_sciences_research_council-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/engineering_and_physical_sciences_research_council-2011-03-31-organogram.xls,4,53
English Heritage,2011-03-31,data/dgu/csv-from-triplestore/english_heritage-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/english_heritage-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/english_heritage-2011-03-31-organogram.xls,21,191
Environment Agency,2011-03-31,data/dgu/csv-from-triplestore/environment_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/environment_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/environment_agency-2011-03-31-organogram.xls,163,2222
Equality and Human Rights Commission,2011-03-31,data/dgu/csv-from-triplestore/equality_and_human_rights_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/equality_and_human_rights_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/equality_and_human_rights_commission-2011-03-31-organogram.xls,5,223
FCO Services,2011-03-31,data/dgu/csv-from-triplestore/fco_services-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/fco_services-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/fco_services-2011-03-31-organogram.xls,9,146
Foreign and Commonwealth Office,2011-03-31,data/dgu/csv-from-triplestore/foreign_and_commonwealth_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/foreign_and_commonwealth_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/foreign_and_commonwealth_office-2011-03-31-organogram.xls,119,219
General Social Care Council,2011-03-31,data/dgu/csv-from-triplestore/general_social_care_council-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/general_social_care_council-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/general_social_care_council-2011-03-31-organogram.xls,4,24
Government Car and Despatch Agency,2011-03-31,data/dgu/csv-from-triplestore/government_car_and_despatch_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/government_car_and_despatch_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/government_car_and_despatch_agency-2011-03-31-organogram.xls,0,0
Government Equalities Office,2011-03-31,data/dgu/csv-from-triplestore/government_equalities_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/government_equalities_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/government_equalities_office-2011-03-31-organogram.xls,8,51
HM Crown Prosecution Service Inspectorate,2011-03-31,data/dgu/csv-from-triplestore/hm_crown_prosecution_service_inspectorate-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/hm_crown_prosecution_service_inspectorate-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/hm_crown_prosecution_service_inspectorate-2011-03-31-organogram.xls,2,15
HM Inspectorate of Constabulary,2011-03-31,data/dgu/csv-from-triplestore/hm_inspectorate_of_constabulary-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/hm_inspectorate_of_constabulary-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/hm_inspectorate_of_constabulary-2011-03-31-organogram.xls,10,82
HM Treasury,2011-03-31,data/dgu/csv-from-triplestore/hm_treasury-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/hm_treasury-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/hm_treasury-2011-03-31-organogram.xls,0,0
Health Protection Agency,2011-03-31,data/dgu/csv-from-triplestore/health_protection_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/health_protection_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/health_protection_agency-2011-03-31-organogram.xls,51,207
Health and Safety Executive,2011-03-31,data/dgu/csv-from-triplestore/health_and_safety_executive-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/health_and_safety_executive-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/health_and_safety_executive-2011-03-31-organogram.xls,47,817
Her Majesty's Revenue and Customs,2011-03-31,data/dgu/csv-from-triplestore/her_majestys_revenue_and_customs-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/her_majestys_revenue_and_customs-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/her_majestys_revenue_and_customs-2011-03-31-organogram.xls,346,5792
Higher Education Funding Council for England,2011-03-31,data/dgu/csv-from-triplestore/higher_education_funding_council_for_england-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/higher_education_funding_council_for_england-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/higher_education_funding_council_for_england-2011-03-31-organogram.xls,4,82
Highways Agency,2011-03-31,data/dgu/csv-from-triplestore/highways_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/highways_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/highways_agency-2011-03-31-organogram.xls,30,237
Home Office,2011-03-31,data/dgu/csv-from-triplestore/home_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/home_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/home_office-2011-03-31-organogram.xls,125,706
Homes and Communities Agency,2011-03-31,data/dgu/csv-from-triplestore/homes_and_communities_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/homes_and_communities_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/homes_and_communities_agency-2011-03-31-organogram.xls,10,152
Horniman Public Museum & Public Park Trust,2011-03-31,data/dgu/csv-from-triplestore/horniman_public_museum_public_park_trust-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/horniman_public_museum_public_park_trust-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/horniman_public_museum_public_park_trust-2011-03-31-organogram.xls,1,26
Human Tissue Authority,2011-03-31,data/dgu/csv-from-triplestore/human_tissue_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/human_tissue_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/human_tissue_authority-2011-03-31-organogram.xls,5,15
Identity & Passport Service,2011-03-31,data/dgu/csv-from-triplestore/identity_passport_service-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/identity_passport_service-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/identity_passport_service-2011-03-31-organogram.xls,14,63
Independent Housing Ombudsman,2011-03-31,data/dgu/csv-from-triplestore/independent_housing_ombudsman-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/independent_housing_ombudsman-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/independent_housing_ombudsman-2011-03-31-organogram.xls,4,14
Independent Living Fund,2011-03-31,data/dgu/csv-from-triplestore/independent_living_fund-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/independent_living_fund-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/independent_living_fund-2011-03-31-organogram.xls,3,57
Independent Police Complaints Commission,2011-03-31,data/dgu/csv-from-triplestore/independent_police_complaints_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/independent_police_complaints_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/independent_police_complaints_commission-2011-03-31-organogram.xls,6,120
Independent Safeguarding Authority,2011-03-31,data/dgu/csv-from-triplestore/independent_safeguarding_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/independent_safeguarding_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/independent_safeguarding_authority-2011-03-31-organogram.xls,3,51
Information Commissioner's Office,2011-03-31,data/dgu/csv-from-triplestore/information_commissioners_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/information_commissioners_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/information_commissioners_office-2011-03-31-organogram.xls,6,91
Infrastructure Planning Commission,2011-03-31,data/dgu/csv-from-triplestore/infrastructure_planning_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/infrastructure_planning_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/infrastructure_planning_commission-2011-03-31-organogram.xls,14,30
Intellectual Property Office,2011-03-31,data/dgu/csv-from-triplestore/intellectual_property_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/intellectual_property_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/intellectual_property_office-2011-03-31-organogram.xls,8,122
Joint Nature Conservation Committee,2011-03-31,data/dgu/csv-from-triplestore/joint_nature_conservation_committee-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/joint_nature_conservation_committee-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/joint_nature_conservation_committee-2011-03-31-organogram.xls,1,55
Judicial Appointments Commission,2011-03-31,data/dgu/csv-from-triplestore/judicial_appointments_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/judicial_appointments_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/judicial_appointments_commission-2011-03-31-organogram.xls,5,10
Land Registry,2011-03-31,data/dgu/csv-from-triplestore/land_registry-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/land_registry-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/land_registry-2011-03-31-organogram.xls,25,89
Leasehold Advisory Service,2011-03-31,data/dgu/csv-from-triplestore/leasehold_advisory_service-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/leasehold_advisory_service-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/leasehold_advisory_service-2011-03-31-organogram.xls,1,2
Legal Services Board,2011-03-31,data/dgu/csv-from-triplestore/legal_services_board-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/legal_services_board-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/legal_services_board-2011-03-31-organogram.xls,6,16
Legal Services Commission,2011-03-31,data/dgu/csv-from-triplestore/legal_services_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/legal_services_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/legal_services_commission-2011-03-31-organogram.xls,13,200
London Thames Gateway Development Corporation,2011-03-31,data/dgu/csv-from-triplestore/london_thames_gateway_development_corporation-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/london_thames_gateway_development_corporation-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/london_thames_gateway_development_corporation-2011-03-31-organogram.xls,8,9
Marine Management Organisation,2011-03-31,data/dgu/csv-from-triplestore/marine_management_organisation-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/marine_management_organisation-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/marine_management_organisation-2011-03-31-organogram.xls,4,28
Maritime and Coastguard Agency,2011-03-31,data/dgu/csv-from-triplestore/maritime_and_coastguard_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/maritime_and_coastguard_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/maritime_and_coastguard_agency-2011-03-31-organogram.xls,4,82
Medical Research Council,2011-03-31,data/dgu/csv-from-triplestore/medical_research_council-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/medical_research_council-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/medical_research_council-2011-03-31-organogram.xls,42,307
Met Office,2011-03-31,data/dgu/csv-from-triplestore/met_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/met_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/met_office-2011-03-31-organogram.xls,10,228
Ministry of Defence,2011-03-31,data/dgu/csv-from-triplestore/ministry_of_defence-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2011-03-31-organogram.xls,616,11421
Ministry of Justice,2011-03-31,data/dgu/csv-from-triplestore/ministry_of_justice-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/ministry_of_justice-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/ministry_of_justice-2011-03-31-organogram.xls,171,781
Monitor,2011-03-31,data/dgu/csv-from-triplestore/monitor-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/monitor-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/monitor-2011-03-31-organogram.xls,9,26
NHS Blood and Transplant,2011-03-31,data/dgu/csv-from-triplestore/nhs_blood_and_transplant-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/nhs_blood_and_transplant-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/nhs_blood_and_transplant-2011-03-31-organogram.xls,54,94
NHS Information Centre for Health and Social Care,2011-03-31,data/dgu/csv-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-03-31-organogram.xls,28,103
NHS Litigation Authority,2011-03-31,data/dgu/csv-from-triplestore/nhs_litigation_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/nhs_litigation_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/nhs_litigation_authority-2011-03-31-organogram.xls,6,33
National Army Museum,2011-03-31,data/dgu/csv-from-triplestore/national_army_museum-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_army_museum-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_army_museum-2011-03-31-organogram.xls,5,33
National College for Leadership of Schools and Children's Services,2011-03-31,data/dgu/csv-from-triplestore/national_college_for_leadership_of_schools_and_childrens_services-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_college_for_leadership_of_schools_and_childrens_services-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_college_for_leadership_of_schools_and_childrens_services-2011-03-31-organogram.xls,22,163
