body_title,graph,senior_csv_filepath,junior_csv_filepath,xls_filepath,senior_posts_count,junior_posts_count
National Heritage Memorial Fund,2011-03-31,data/dgu/csv-from-triplestore/national_heritage_memorial_fund-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_heritage_memorial_fund-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_heritage_memorial_fund-2011-03-31-organogram.xls,4,40
National Institute for Health and Care Excellence,2011-03-31,data/dgu/csv-from-triplestore/national_institute_for_health_and_care_excellence-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_institute_for_health_and_care_excellence-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_institute_for_health_and_care_excellence-2011-03-31-organogram.xls,16,259
National Lottery Commission,2011-03-31,data/dgu/csv-from-triplestore/national_lottery_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_lottery_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_lottery_commission-2011-03-31-organogram.xls,5,25
National Measurement Office,2011-03-31,data/dgu/csv-from-triplestore/national_measurement_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_measurement_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_measurement_office-2011-03-31-organogram.xls,1,3
National Museum of Science and Industry,2011-03-31,data/dgu/csv-from-triplestore/national_museum_of_science_and_industry-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_museum_of_science_and_industry-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_museum_of_science_and_industry-2011-03-31-organogram.xls,10,252
National Museums Liverpool,2011-03-31,data/dgu/csv-from-triplestore/national_museums_liverpool-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_museums_liverpool-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_museums_liverpool-2011-03-31-organogram.xls,7,148
National Offender Management Service,2011-03-31,data/dgu/csv-from-triplestore/national_offender_management_service-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_offender_management_service-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_offender_management_service-2011-03-31-organogram.xls,85,4214
National Patient Safety Agency,2011-03-31,data/dgu/csv-from-triplestore/national_patient_safety_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_patient_safety_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_patient_safety_agency-2011-03-31-organogram.xls,5,48
National Policing Improvement Agency,2011-03-31,data/dgu/csv-from-triplestore/national_policing_improvement_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_policing_improvement_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_policing_improvement_agency-2011-03-31-organogram.xls,31,810
Natural England,2011-03-31,data/dgu/csv-from-triplestore/natural_england-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/natural_england-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/natural_england-2011-03-31-organogram.xls,24,234
Natural History Museum,2011-03-31,data/dgu/csv-from-triplestore/natural_history_museum-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/natural_history_museum-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/natural_history_museum-2011-03-31-organogram.xls,4,157
Northern Ireland Human Rights Commission,2011-03-31,data/dgu/csv-from-triplestore/northern_ireland_human_rights_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/northern_ireland_human_rights_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/northern_ireland_human_rights_commission-2011-03-31-organogram.xls,1,5
Northern Ireland Office,2011-03-31,data/dgu/csv-from-triplestore/northern_ireland_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/northern_ireland_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/northern_ireland_office-2011-03-31-organogram.xls,8,26
"Office for Standards in Education, Children's Services and Skills",2011-03-31,data/dgu/csv-from-triplestore/office_for_standards_in_education_childrens_services_and_skills-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/office_for_standards_in_education_childrens_services_and_skills-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/office_for_standards_in_education_childrens_services_and_skills-2011-03-31-organogram.xls,37,171
Office of Qualifications and Examinations Regulation,2011-03-31,data/dgu/csv-from-triplestore/office_of_qualifications_and_examinations_regulation-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/office_of_qualifications_and_examinations_regulation-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/office_of_qualifications_and_examinations_regulation-2011-03-31-organogram.xls,5,24
Office of the Children's Commissioner,2011-03-31,data/dgu/csv-from-triplestore/office_of_the_childrens_commissioner-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/office_of_the_childrens_commissioner-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/office_of_the_childrens_commissioner-2011-03-31-organogram.xls,5,19
Office of the Immigration Services Commissioner,2011-03-31,data/dgu/csv-from-triplestore/office_of_the_immigration_services_commissioner-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/office_of_the_immigration_services_commissioner-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/office_of_the_immigration_services_commissioner-2011-03-31-organogram.xls,1,15
Ofsted,2011-03-31,data/dgu/csv-from-triplestore/ofsted-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/ofsted-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/ofsted-2011-03-31-organogram.xls,37,171
Olympic Delivery Authority,2011-03-31,data/dgu/csv-from-triplestore/olympic_delivery_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/olympic_delivery_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/olympic_delivery_authority-2011-03-31-organogram.xls,32,133
Ordnance Survey,2011-03-31,data/dgu/csv-from-triplestore/ordnance_survey-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/ordnance_survey-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/ordnance_survey-2011-03-31-organogram.xls,6,205
Parades Commission for Northern Ireland,2011-03-31,data/dgu/csv-from-triplestore/parades_commission_for_northern_ireland-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/parades_commission_for_northern_ireland-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/parades_commission_for_northern_ireland-2011-03-31-organogram.xls,1,6
Parole Board,2011-03-31,data/dgu/csv-from-triplestore/parole_board-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/parole_board-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/parole_board-2011-03-31-organogram.xls,2,48
Public Lending Right,2011-03-31,data/dgu/csv-from-triplestore/public_lending_right-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/public_lending_right-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/public_lending_right-2011-03-31-organogram.xls,1,11
Qualifications and Curriculum Development Agency,2011-03-31,data/dgu/csv-from-triplestore/qualifications_and_curriculum_development_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/qualifications_and_curriculum_development_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/qualifications_and_curriculum_development_agency-2011-03-31-organogram.xls,12,52
Royal Air Force Museum,2011-03-31,data/dgu/csv-from-triplestore/royal_air_force_museum-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/royal_air_force_museum-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/royal_air_force_museum-2011-03-31-organogram.xls,3,33
Rural Payments Agency,2011-03-31,data/dgu/csv-from-triplestore/rural_payments_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/rural_payments_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/rural_payments_agency-2011-03-31-organogram.xls,9,126
Science and Technology Facilities Council,2011-03-31,data/dgu/csv-from-triplestore/science_and_technology_facilities_council-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/science_and_technology_facilities_council-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/science_and_technology_facilities_council-2011-03-31-organogram.xls,39,347
Scotland Office,2011-03-31,data/dgu/csv-from-triplestore/scotland_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/scotland_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/scotland_office-2011-03-31-organogram.xls,4,56
Scottish Government,2011-03-31,data/dgu/csv-from-triplestore/scottish_government-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/scottish_government-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/scottish_government-2011-03-31-organogram.xls,216,1042
Scottish Law Commission,2011-03-31,data/dgu/csv-from-triplestore/scottish_law_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/scottish_law_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/scottish_law_commission-2011-03-31-organogram.xls,1,0
Security Industry Authority,2011-03-31,data/dgu/csv-from-triplestore/security_industry_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/security_industry_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/security_industry_authority-2011-03-31-organogram.xls,4,67
Serious Fraud Office,2011-03-31,data/dgu/csv-from-triplestore/serious_fraud_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/serious_fraud_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/serious_fraud_office-2011-03-31-organogram.xls,10,112
Serious Organised Crime Agency,2011-03-31,data/dgu/csv-from-triplestore/serious_organised_crime_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/serious_organised_crime_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/serious_organised_crime_agency-2011-03-31-organogram.xls,6,43
Sport England,2011-03-31,data/dgu/csv-from-triplestore/sport_england-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/sport_england-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/sport_england-2011-03-31-organogram.xls,8,83
Standards Board for England,2011-03-31,data/dgu/csv-from-triplestore/standards_board_for_england-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/standards_board_for_england-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/standards_board_for_england-2011-03-31-organogram.xls,4,26
Tate,2011-03-31,data/dgu/csv-from-triplestore/tate-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/tate-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/tate-2011-03-31-organogram.xls,6,28
Tenant Services Authority,2011-03-31,data/dgu/csv-from-triplestore/tenant_services_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/tenant_services_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/tenant_services_authority-2011-03-31-organogram.xls,8,82
The British Library,2011-03-31,data/dgu/csv-from-triplestore/the_british_library-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/the_british_library-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/the_british_library-2011-03-31-organogram.xls,45,153
The British Museum,2011-03-31,data/dgu/csv-from-triplestore/the_british_museum-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/the_british_museum-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/the_british_museum-2011-03-31-organogram.xls,7,76
The Geffrye Museum,2011-03-31,data/dgu/csv-from-triplestore/the_geffrye_museum-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/the_geffrye_museum-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/the_geffrye_museum-2011-03-31-organogram.xls,1,21
The Insolvency Service,2011-03-31,data/dgu/csv-from-triplestore/the_insolvency_service-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/the_insolvency_service-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/the_insolvency_service-2011-03-31-organogram.xls,5,102
The National Archives,2011-03-31,data/dgu/csv-from-triplestore/the_national_archives-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/the_national_archives-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/the_national_archives-2011-03-31-organogram.xls,7,214
The National Gallery,2011-03-31,data/dgu/csv-from-triplestore/the_national_gallery-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/the_national_gallery-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/the_national_gallery-2011-03-31-organogram.xls,7,108
The Northern Lighthouse Board,2011-03-31,data/dgu/csv-from-triplestore/the_northern_lighthouse_board-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/the_northern_lighthouse_board-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/the_northern_lighthouse_board-2011-03-31-organogram.xls,4,87
The Pensions Regulator,2011-03-31,data/dgu/csv-from-triplestore/the_pensions_regulator-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/the_pensions_regulator-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/the_pensions_regulator-2011-03-31-organogram.xls,64,66
Thurrock Thames Gateway Development Corporation,2011-03-31,data/dgu/csv-from-triplestore/thurrock_thames_gateway_development_corporation-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/thurrock_thames_gateway_development_corporation-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/thurrock_thames_gateway_development_corporation-2011-03-31-organogram.xls,4,23
Training and Development Agency for Schools,2011-03-31,data/dgu/csv-from-triplestore/training_and_development_agency_for_schools-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/training_and_development_agency_for_schools-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/training_and_development_agency_for_schools-2011-03-31-organogram.xls,14,52
Treasury Solicitor's Department,2011-03-31,data/dgu/csv-from-triplestore/treasury_solicitors_department-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/treasury_solicitors_department-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/treasury_solicitors_department-2011-03-31-organogram.xls,61,203
UK Border Agency,2011-03-31,data/dgu/csv-from-triplestore/uk_border_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/uk_border_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/uk_border_agency-2011-03-31-organogram.xls,81,486
UK Debt Management Office,2011-03-31,data/dgu/csv-from-triplestore/uk_debt_management_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/uk_debt_management_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/uk_debt_management_office-2011-03-31-organogram.xls,4,88
UK Sport,2011-03-31,data/dgu/csv-from-triplestore/uk_sport-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/uk_sport-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/uk_sport-2011-03-31-organogram.xls,6,48
UK Supreme Court,2011-03-31,data/dgu/csv-from-triplestore/uk_supreme_court-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/uk_supreme_court-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/uk_supreme_court-2011-03-31-organogram.xls,2,29
United Kingdom Atomic Energy Authority,2011-03-31,data/dgu/csv-from-triplestore/united_kingdom_atomic_energy_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/united_kingdom_atomic_energy_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/united_kingdom_atomic_energy_authority-2011-03-31-organogram.xls,10,287
Valuation Office Agency,2011-03-31,data/dgu/csv-from-triplestore/valuation_office_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/valuation_office_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/valuation_office_agency-2011-03-31-organogram.xls,11,4104
Vehicle Certification Agency,2011-03-31,data/dgu/csv-from-triplestore/vehicle_certification_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/vehicle_certification_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/vehicle_certification_agency-2011-03-31-organogram.xls,1,13
Vehicle and Operator Services Agency,2011-03-31,data/dgu/csv-from-triplestore/vehicle_and_operator_services_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/vehicle_and_operator_services_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/vehicle_and_operator_services_agency-2011-03-31-organogram.xls,3,45
Veterinary Medicines Directorate,2011-03-31,data/dgu/csv-from-triplestore/veterinary_medicines_directorate-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/veterinary_medicines_directorate-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/veterinary_medicines_directorate-2011-03-31-organogram.xls,3,31
Victoria & Albert Museum,2011-03-31,data/dgu/csv-from-triplestore/victoria_albert_museum-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/victoria_albert_museum-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/victoria_albert_museum-2011-03-31-organogram.xls,5,37
Wales Office,2011-03-31,data/dgu/csv-from-triplestore/wales_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/wales_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/wales_office-2011-03-31-organogram.xls,4,37
West Northamptonshire Development Corporation,2011-03-31,data/dgu/csv-from-triplestore/west_northamptonshire_development_corporation-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/west_northamptonshire_development_corporation-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/west_northamptonshire_development_corporation-2011-03-31-organogram.xls,5,29
Youth Justice Board,2011-03-31,data/dgu/csv-from-triplestore/youth_justice_board-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/youth_justice_board-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/youth_justice_board-2011-03-31-organogram.xls,15,182
"Advisory, Conciliation and Arbitration Service",2011-09-30,data/dgu/csv-from-triplestore/advisory_conciliation_and_arbitration_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/advisory_conciliation_and_arbitration_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/advisory_conciliation_and_arbitration_service-2011-09-30-organogram.xls,4,293
Animal Health and Veterinary Laboratories Agency,2011-09-30,data/dgu/csv-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/animal_health_and_veterinary_laboratories_agency-2011-09-30-organogram.xls,11,226
Appointments Commission,2011-09-30,data/dgu/csv-from-triplestore/appointments_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/appointments_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/appointments_commission-2011-09-30-organogram.xls,3,11
Arts and Humanities Research Council,2011-09-30,data/dgu/csv-from-triplestore/arts_and_humanities_research_council-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/arts_and_humanities_research_council-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/arts_and_humanities_research_council-2011-09-30-organogram.xls,4,11
Asset Protection Agency,2011-09-30,data/dgu/csv-from-triplestore/asset_protection_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/asset_protection_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/asset_protection_agency-2011-09-30-organogram.xls,17,8
Attorney General's Office,2011-09-30,data/dgu/csv-from-triplestore/attorney_generals_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/attorney_generals_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/attorney_generals_office-2011-09-30-organogram.xls,5,18
Audit Commission,2011-09-30,data/dgu/csv-from-triplestore/audit_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/audit_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/audit_commission-2011-09-30-organogram.xls,23,114
Biotechnology and Biological Sciences Research Council,2011-09-30,data/dgu/csv-from-triplestore/biotechnology_and_biological_sciences_research_council-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/biotechnology_and_biological_sciences_research_council-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/biotechnology_and_biological_sciences_research_council-2011-09-30-organogram.xls,24,308
Boundary Commission for Scotland,2011-09-30,data/dgu/csv-from-triplestore/boundary_commission_for_scotland-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/boundary_commission_for_scotland-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/boundary_commission_for_scotland-2011-09-30-organogram.xls,3,5
British Tourist Authority,2011-09-30,data/dgu/csv-from-triplestore/british_tourist_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/british_tourist_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/british_tourist_authority-2011-09-30-organogram.xls,5,16
British Transport Police Authority,2011-09-30,data/dgu/csv-from-triplestore/british_transport_police_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/british_transport_police_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/british_transport_police_authority-2011-09-30-organogram.xls,17,8
Cabinet Office,2011-09-30,data/dgu/csv-from-triplestore/cabinet_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/cabinet_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/cabinet_office-2011-09-30-organogram.xls,235,629
Capital For Enterprise Ltd,2011-09-30,data/dgu/csv-from-triplestore/capital_for_enterprise_ltd-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/capital_for_enterprise_ltd-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/capital_for_enterprise_ltd-2011-09-30-organogram.xls,7,9
Care Quality Commission,2011-09-30,data/dgu/csv-from-triplestore/care_quality_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/care_quality_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/care_quality_commission-2011-09-30-organogram.xls,44,311
"Centre for Environment, Fisheries & Aquaculture Science",2011-09-30,data/dgu/csv-from-triplestore/centre_for_environment_fisheries_aquaculture_science-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/centre_for_environment_fisheries_aquaculture_science-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/centre_for_environment_fisheries_aquaculture_science-2011-09-30-organogram.xls,4,35
Child Maintenance and Enforcement Commission,2011-09-30,data/dgu/csv-from-triplestore/child_maintenance_and_enforcement_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/child_maintenance_and_enforcement_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/child_maintenance_and_enforcement_commission-2011-09-30-organogram.xls,36,307
Children and Family Court Advisory and Support Service,2011-09-30,data/dgu/csv-from-triplestore/children_and_family_court_advisory_and_support_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/children_and_family_court_advisory_and_support_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/children_and_family_court_advisory_and_support_service-2011-09-30-organogram.xls,8,88
Children's Workforce Development Council,2011-09-30,data/dgu/csv-from-triplestore/childrens_workforce_development_council-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/childrens_workforce_development_council-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/childrens_workforce_development_council-2011-09-30-organogram.xls,7,57
Civil Nuclear Police Authority,2011-09-30,data/dgu/csv-from-triplestore/civil_nuclear_police_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/civil_nuclear_police_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/civil_nuclear_police_authority-2011-09-30-organogram.xls,4,31
Civil Service Learning,2011-09-30,data/dgu/csv-from-triplestore/civil_service_learning-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/civil_service_learning-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/civil_service_learning-2011-09-30-organogram.xls,5,28
Coal Authority,2011-09-30,data/dgu/csv-from-triplestore/coal_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/coal_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/coal_authority-2011-09-30-organogram.xls,6,79
Committee on Climate Change,2011-09-30,data/dgu/csv-from-triplestore/committee_on_climate_change-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/committee_on_climate_change-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/committee_on_climate_change-2011-09-30-organogram.xls,4,29
