"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Corporate Performance","A2","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A2L (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A27","A1 (G6)","61381","70290","Administrator","11","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A2 (G7)","49410","58160","Administrator","15","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A2L (SEO)","41218","45380","Administrator","12","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B1 (HEO)","31320","35680","Administrator","13","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B2 (EO)","23930","28210","Administrator","16","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","C1 (AO)","19500","23275","Administrator","6","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B38","A1 (G6)","61381","70290","Administrator","5","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2 (G7)","49410","58160","Administrator","13","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2L (SEO)","41218","45380","Administrator","14","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1 (HEO)","31320","35680","Administrator","10","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1D (Faststream)","26800","37195","Administrator","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B2 (EO)","23930","28210","Administrator","4","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B41","A1 (G6)","61381","70290","Administrator","5","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2 (G7)","49410","58160","Administrator","15","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2L (SEO)","41218","45380","Administrator","24","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B1 (HEO)","31320","35680","Administrator","22","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B1D (Faststream)","26800","37195","Administrator","4","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B2 (EO)","23930","28210","Administrator","24","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","C1 (AO)","19500","23275","Administrator","1","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2 (G7)","49410","58160","Administrator","0","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2L (SEO)","41218","45380","Administrator","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B47","B1 (HEO)","31320","35680","Administrator","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B47","B2 (EO)","23930","28210","Administrator","3","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B47","C1 (AO)","19500","23275","Administrator","8","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B47","C2 (AA)","16080","20090","Administrator","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B47","A1 (G6)","61381","70290","Administrator","3","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2 (G7)","49410","58160","Administrator","7","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2L (SEO)","41218","45380","Administrator","5","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","B1 (HEO)","31320","35680","Administrator","10","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","B2 (EO)","23930","28210","Administrator","16","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","C1 (AO)","19500","23275","Administrator","7","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","C2 (AA)","16080","20090","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","A13","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","A13","A2 (G7)","49410","58160","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A13","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A27","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A28","A1 (G6)","61381","70290","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A1 (G6)","61381","70290","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A2 (G7)","49410","58160","Administrator","10","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A2L (SEO)","41218","45380","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","B1 (HEO)","31320","35680","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","B2 (EO)","23930","28210","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A42","A1 (G6)","61381","70290","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A42","A2 (G7)","49410","58160","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","A42","B1 (HEO)","31320","35680","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A42","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A42","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B43","A1 (G6)","61381","70290","Administrator","11","Policy"
"Department for International Development","Department for International Development","Country Programmes","B43","A2 (G7)","49410","58160","Administrator","30","Policy"
"Department for International Development","Department for International Development","Country Programmes","B43","A2L (SEO)","41218","45380","Administrator","13","Policy"
"Department for International Development","Department for International Development","Country Programmes","B43","B1 (HEO)","31320","35680","Administrator","9","Policy"
"Department for International Development","Department for International Development","Country Programmes","B43","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B43","B2 (EO)","23930","28210","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B43","C1 (AO)","19500","23275","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2L (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","B1 (HEO)","31320","35680","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2 (G7)","49410","58160","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2L (SEO)","41218","45380","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A1 (G6)","61381","70290","Administrator","26","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A2 (G7)","49410","58160","Administrator","25","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A2L (SEO)","41218","45380","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B1 (HEO)","31320","35680","Administrator","8","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B2 (EO)","23930","28210","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","C1 (AO)","19500","23275","Administrator","2","Policy"
"Department for International Development","Department for International Development","ICAI","A41","A1 (G6)","61381","70290","Administrator","1","Other"
"Department for International Development","Department for International Development","ICAI","A41","A2 (G7)","49410","58160","Administrator","1","Other"
"Department for International Development","Department for International Development","ICAI","A41","A2L (SEO)","41218","45380","Administrator","1","Other"
"Department for International Development","Department for International Development","ICAI","A41","B2 (EO)","23930","28210","Administrator","1","Other"
"Department for International Development","Department for International Development","Policy & Global","A19","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A19","A2 (G7)","49410","58160","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A19","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A19","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A20","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A20","A2 (G7)","49410","58160","Administrator","10","Policy"
"Department for International Development","Department for International Development","Policy & Global","A20","A2L (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A20","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A20","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A20","B2 (EO)","23930","28210","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A20","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A23","A1 (G6)","61381","70290","Administrator","11","Policy"
"Department for International Development","Department for International Development","Policy & Global","A23","A2 (G7)","49410","58160","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & Global","A23","A2L (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A23","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A23","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & Global","A23","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A23","C1 (AO)","19500","23275","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & Global","A24","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A24","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A29","A1 (G6)","61381","70290","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & Global","A29","A2 (G7)","49410","58160","Administrator","8","Policy"
"Department for International Development","Department for International Development","Policy & Global","A29","B1 (HEO)","31320","35680","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & Global","A29","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A29","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A29","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A40","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A40","A2 (G7)","49410","58160","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & Global","A40","A2L (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A40","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","A41","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & Global","B54","A1 (G6)","61381","70290","Administrator","1","Policy"
